*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=ohmPi_MUX_64elec_I2C
*Date=19:49:17
*CreatedBy=Fritzing 0.9.6b.2021-02-21.CD-175-0-8a1e0682
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
185;;diode-1n4001;235.731;-312.008;-90;Bottom;D63
186;;to-92;28.1191;-218.937;-90;Bottom;Q23
187;100k;THT;29.8205;-312.387;-90;Bottom;R15
188;12V;THT;250.22;-88.9618;0;Bottom;OMRON50
189;;diode-1n4001;32.7602;-225.857;-90;Bottom;D10
190;;to-92;95.1823;-288.175;-90;Bottom;Q30
191;12V;THT;250.22;-122.962;0;Bottom;OMRON52
192;;to-92;28.1191;-98.9374;-90;Bottom;Q18
193;;to-92;28.2247;-305.174;-90;Bottom;Q26
194;100k;THT;232.26;-262.748;90;Bottom;R60
195;100k;THT;29.4205;-140.788;-90;Bottom;R5
196;100k;THT;96.7602;-141.748;90;Bottom;R21
197;;to-92;28.1191;-201.937;-90;Bottom;Q22
198;220;THT;45.4102;-61.0772;0;Bottom;R1
199;;;21.0652;-309.722;0;Bottom;TXT3
200;;diode-1n4001;167.77;-140.985;-90;Bottom;D37
201;;diode-1n4001;99.7283;-328.985;-90;Bottom;D32
202;12V;THT;182.286;-157.901;0;Bottom;OMRON38
203;100k;THT;164.26;-314.248;90;Bottom;R47
204;;diode-1n4001;99.7514;-140.989;-90;Bottom;D21
205;12V;THT;250.22;-276.962;0;Bottom;OMRON61
206;;;180.717;-45.0914;0;Bottom;MCP23017-3
207;;to-92;231.079;-185.962;-90;Bottom;Q56
208;12V;THT;182.247;-259.901;0;Bottom;OMRON44
209;100k;THT;96.7602;-296.248;90;Bottom;R30
210;;diode-1n4001;32.7602;-208.858;-90;Bottom;D9
211;;to-92;231.174;-288.232;-90;Bottom;Q62
212;;diode-1n4001;32.7832;-140.022;-90;Bottom;D5
213;;diode-1n4001;99.7283;-226.825;-90;Bottom;D26
214;;diode-1n4001;167.747;-123.821;-90;Bottom;D36
215;12V;THT;47.2602;-241.938;0;Bottom;OMRON11
216;;;112.698;-45.095;0;Bottom;MCP23017-2
217;;to-92;231.174;-66.2318;-90;Bottom;Q49
218;100k;THT;96.7602;-278.748;90;Bottom;R29
219;;diode-1n4001;167.747;-89.8214;-90;Bottom;D34
220;12V;THT;114.228;-88.905;0;Bottom;OMRON18
221;;diode-1n4001;167.657;-158.061;-90;Bottom;D38
222;12V;THT;182.247;-242.901;0;Bottom;OMRON43
223;12V;THT;250.22;-259.962;0;Bottom;OMRON60
224;100k;THT;29.7205;-243.687;-90;Bottom;R11
225;;THT;156.76;-7.93763;0;Bottom;J19
226;100k;THT;96.7602;-193.248;90;Bottom;R24
227;;diode-1n4001;235.72;-244.042;-90;Bottom;D59
228;100k;THT;29.7205;-260.688;-90;Bottom;R12
229;;diode-1n4001;235.72;-123.882;-90;Bottom;D52
230;;to-92;95.0872;-133.905;-90;Bottom;Q21
231;;;142.177;-45.9375;0;Bottom;Hole6
232;;to-92;28.2141;-253.207;-90;Bottom;Q5
233;100k;THT;30.0205;-123.687;-90;Bottom;R4
234;100k;THT;232.26;-194.748;90;Bottom;R56
235;;diode-1n4001;32.7602;-328.017;-90;Bottom;D16
236;;to-92;95.0872;-151.905;-90;Bottom;Q22
237;;to-92;231.185;-306.198;-90;Bottom;Q63
238;;diode-1n4001;32.7602;-243.017;-90;Bottom;D11
239;100k;THT;232.26;-245.748;90;Bottom;R59
240;;;142.177;-190.185;0;Bottom;Hole8
241;;diode-1n4001;167.747;-243.981;-90;Bottom;D43
242;;diode-1n4001;235.72;-295.042;-90;Bottom;D62
243;;to-92;95.193;-306.141;-90;Bottom;Q31
244;100k;THT;96.7602;-244.747;90;Bottom;R27
245;;diode-1n4001;167.747;-192.821;-90;Bottom;D40
246;;to-92;95.1823;-271.175;-90;Bottom;Q29
247;12V;THT;250.22;-71.9618;0;Bottom;OMRON49
248;;to-92;28.2141;-322.207;-90;Bottom;Q27
249;;diode-1n4001;167.747;-277.981;-90;Bottom;D45
250;100k;THT;232.26;-279.748;90;Bottom;R61
251;;;5.76024;-5.93744;0;Bottom;Hole5
252;12V;THT;114.228;-191.905;0;Bottom;OMRON24
253;;;5.76024;-365.936;0;Bottom;Hole2
254;;to-92;95.1823;-66.175;-90;Bottom;Q43
255;100k;THT;163.76;-228.747;90;Bottom;R42
256;12V;THT;47.2602;-292.937;0;Bottom;OMRON14
257;12V;THT;182.247;-208.901;0;Bottom;OMRON41
258;;to-92;95.0872;-185.905;-90;Bottom;Q24
259;;THT;10.7961;-328.598;0;Bottom;J18
260;;to-92;163.106;-185.901;-90;Bottom;Q40
261;;to-92;163.201;-254.171;-90;Bottom;Q44
262;12V;THT;47.2602;-104.938;0;Bottom;OMRON3
263;;diode-1n4001;99.7283;-123.825;-90;Bottom;D20
264;;diode-1n4001;99.7283;-192.825;-90;Bottom;D24
265;;diode-1n4001;235.72;-89.8818;-90;Bottom;D50
266;12V;THT;47.2602;-70.9375;0;Bottom;OMRON1
267;;diode-1n4001;235.72;-72.8818;-90;Bottom;D49
268;;THT;193.397;-351.759;-90;Bottom;33-48
269;100k;THT;29.6205;-295.087;-90;Bottom;R14
270;;to-92;163.106;-168.901;-90;Bottom;Q39
271;;THT;8.77626;-67.5645;0;Bottom;J17
272;;;279.76;-190.185;0;Bottom;Hole13
273;;diode-1n4001;99.7283;-209.825;-90;Bottom;D25
274;;to-92;28.2141;-287.208;-90;Bottom;Q25
275;100k;THT;163.76;-262.748;90;Bottom;R44
276;;to-92;163.201;-288.171;-90;Bottom;Q46
277;;diode-1n4001;32.7602;-260.018;-90;Bottom;D12
278;12V;THT;114.228;-71.905;0;Bottom;OMRON17
279;12V;THT;182.286;-174.901;0;Bottom;OMRON39
280;100k;THT;90.4502;-312.937;0;Bottom;R31
281;;to-92;95.1823;-323.175;-90;Bottom;Q32
282;;to-92;231.079;-202.962;-90;Bottom;Q57
283;;diode-1n4001;167.747;-209.821;-90;Bottom;D41
284;100k;THT;232.76;-160.747;90;Bottom;R54
285;100k;THT;30.1205;-226.588;-90;Bottom;R10
286;100k;THT;154.95;-325.937;0;Bottom;R48
287;;THT;89.3002;-9.79465;-90;Bottom;I2C
288;;;52.7602;-70.9375;0;Bottom;Via1
289;100k;THT;232.76;-125.748;90;Bottom;R52
290;;diode-1n4001;167.747;-72.8214;-90;Bottom;D33
291;;diode-1n4001;99.7283;-72.825;-90;Bottom;D17
